Alfred      14 M    69    113
Alice       13 F    57     84
Barbara     13 F    65     98
Carol       14 F    63    103
Henry       14 M    64    103
James       12 M    57     83
Jane        12 F    60     85
Janet       15 F    63    113
Jeffrey     13 M    63     84
John        12 M    59    100
Joyce       11 F    51     51
Judy        14 F    64     90
Louise      12 F    56     77
Mary        15 F    67    112
Philip      16 M    72    150
Robert      12 M    65    128
Ronald      15 M    67    133
Thomas      11 M    58     85
William     15 M    67    112
