Name	Age	Sex	Height	Weight	Date
Alfred	14	M	69	112.5	01Mar2015
Alice	13	F	56.5	84	15Jan2016
Barbara	13	F	65.3	98	21Jan2016
Carol	14	F	62.8	102.5	11Mar2017
Henry	14	M	63.5	102.5	05Jan2017
James	12	M	57.3	83	21Mar2015
Jane	12	F	59.8	84.5	15Mar2014
Janet	15	F	62.5	112.5	24Sep2013
Jeffrey	13	M	62.5	84	19Sep2012
John	12	M	59	99.5	16Feb2013
Joyce	11	F	51.3	50.5	07Feb2017
Judy	14	F	64.3	90	02Oct2014
Louise	12	F	56.3	77	30Oct2015
Mary	15	F	66.5	112	29Dec2016
Philip	16	M	72	150	19Dec2017
Robert	12	M	64.8	128	04May2014
Ronald	15	M	67	133	08Jul2013
Thomas	11	M	57.5	85	21Apr2014
William	15	M	66.5	112	30Aug2015
